path,state,county_name,type,notes,build
data/raw/Michigan/Montmorency/cvr.csv,MICHIGAN,MONTMORENCY,delim,,
data/raw/Michigan/Washtinaw,MICHIGAN,WASHTENAW,xml,,
data/raw/Michigan/Wayne/cvr.csv,MICHIGAN,WAYNE,delim,,
data/raw/Minnesota/Fillmore/cvr_modified.csv,MINNESOTA,FILLMORE,delim,,
data/raw/Nevada/Carson City/Carson City NV.csv,NEVADA,CARSON CITY,delim,,
data/raw/Nevada/Churchill/Nevada_Churchill_County_CVR_Export_20220329093901_CHURCHILL_NV_REPORT.csv,NEVADA,CHURCHILL,delim,,
data/raw/Nevada/Clark/CVR_Export_20201124105543_pe.csv,NEVADA,CLARK,delim,,
data/raw/Nevada/Douglas/Nevada_Douglas_County_4_CVR_Export_20220405105116.csv,NEVADA,DOUGLAS,delim,,
data/raw/Nevada/Elko/Nevada_Elko_County_4CVR_Export_20220322153718.csv,NEVADA,ELKO,delim,,
data/raw/Nevada/Esmerelda,NEVADA,ESMERALDA,json,,
data/raw/Nevada/Eureka/Nevada_Eureka_County_CVR_Export_20220324083636.csv,NEVADA,EUREKA,delim,,
data/raw/Nevada/Humboldt,NEVADA,HUMBOLDT,json,,
data/raw/Nevada/Lander/cvr.csv,NEVADA,LANDER,delim,,
data/raw/Nevada/Lincoln/Nevada_Lincoln_County_CVR_Export_20220405085248.csv,NEVADA,LINCOLN,delim,,
data/raw/Nevada/Lyon/Nevada_Lyon_County_CVR_Export_20220426145023.csv,NEVADA,LYON,delim,,
data/raw/Nevada/Mineral,NEVADA,MINERAL,json,,
data/raw/Nevada/Nye/Nevada_Nye_county_CVR_Export_20220324164214.csv,NEVADA,NYE,delim,,
